Time,EGO_GPSdirection,EGO_latGPS,EGO_longGPS,EGO_longSpeed,EGO_longAccel,EGO_latAccel,EGO_SwAngle,EGO_SwRotSpeed,OBJECT_0001_Unique_ID,OBJECT_0001_Length,OBJECT_0001_Width,OBJECT_0001_Height,OBJECT_0001_LongPos,OBJECT_0001_LatPos,OBJECT_0001_LongVel,OBJECT_0001_LatVel,OBJECT_0001_LongAccel,OBJECT_0001_ObstacleClass
3.4,-65,48.873416255,2.29643378976,4.94655799866,0.971490621567,-0.0105458563194,-0.0145694995299,-0.0457943528891,45,4.326,1.773,1.494,5,0,0,0,-0.00872282125056,1
3.45,-65,48.8734168905,2.2964317722,4.98804235458,0.83086848259,-0.0121949017048,-0.0165686421096,-0.0400394648314,45,4.326,1.773,1.494,5,0,0,0,-0.0105458563194,1
3.5,-65,48.8734175288,2.29642974608,5.02203369141,0.682424068451,-0.0136587861925,-0.0183071903884,-0.0349038429558,45,4.326,1.773,1.494,5,0,0,0,-0.0121949017048,1
3.55,-65,48.8734181711,2.29642770835,5.04835939407,0.528181672096,-0.0149197820574,-0.0197893157601,-0.0297366958112,45,4.326,1.773,1.494,5,0,0,0,-0.0136587861925,1
3.6,-65,48.8734188318,2.296425613,5.06808185577,0.38627281785,-0.0159811843187,-0.0210324767977,-0.0243475344032,45,4.326,1.773,1.494,5,0,0,0,-0.0149197820574,1
3.65,-65,48.8734194778,2.29642356506,5.08124160767,0.264356344938,-0.0168630853295,-0.022078320384,-0.0210091229528,45,4.326,1.773,1.494,5,0,0,0,-0.0159811843187,1
3.7,-65,48.8734201263,2.29642151038,5.08933830261,0.162349909544,-0.0175414439291,-0.0228934567422,-0.0163452569395,45,4.326,1.773,1.494,5,0,0,0,-0.0168630853295,1
3.75,-65,48.8734207755,2.29641945403,5.0933637619,0.0807147249579,-0.0180526729673,-0.0235234349966,-0.0126311304048,45,4.326,1.773,1.494,5,0,0,0,-0.0175414439291,1
3.8,-65,48.8734214251,2.29641739741,5.09544181824,0.0416696630418,-0.0184229426086,-0.0239863395691,-0.00928350817412,45,4.326,1.773,1.494,5,0,0,0,-0.0180526729673,1
3.85,-65,48.8734220734,2.2964153459,5.09525203705,-0.00380921852775,-0.0186603069305,-0.0242971889675,-0.00624902313575,45,4.326,1.773,1.494,5,0,0,0,-0.0184229426086,1
3.9,-65,48.8734227233,2.2964132903,5.09362792969,-0.0325793996453,-0.0187800917774,-0.0244687553495,-0.00344092701562,45,4.326,1.773,1.494,5,0,0,0,-0.0186603069305,1
3.95,-65,48.8734233751,2.29641122966,5.09110593796,-0.0504261851311,-0.0187970679253,-0.0245151426643,-0.000927574466914,45,4.326,1.773,1.494,5,0,0,0,-0.0187800917774,1
4,-65,48.8734240369,2.29640913837,5.08800315857,-0.061091888696,-0.0187234319746,-0.0244488958269,0.00130444939714,45,4.326,1.773,1.494,5,0,0,0,-0.0187970679253,1
4.05,-65,48.8734246862,2.29640708753,5.08471727371,-0.0659320130944,-0.018565678969,-0.0242742467672,0.00350440456532,45,4.326,1.773,1.494,5,0,0,0,-0.0187234319746,1
4.1,-65,48.8734253355,2.29640503768,5.08141183853,-0.0663117617369,-0.0183414369822,-0.0240122657269,0.00525575177744,45,4.326,1.773,1.494,5,0,0,0,-0.018565678969,1
4.15,-65,48.873425986,2.29640298506,5.07821559906,-0.0639958903193,-0.018054112792,-0.0236658714712,0.006935226731,45,4.326,1.773,1.494,5,0,0,0,-0.0183414369822,1
4.2,-65,48.8734266345,2.29640093967,5.0749130249,-0.0663080438972,-0.0177104771137,-0.0232456494123,0.00843736995012,45,4.326,1.773,1.494,5,0,0,0,-0.018054112792,1
4.25,-65,48.8734272845,2.29639889034,5.07124567032,-0.0734412893653,-0.0173171963543,-0.0227623451501,0.00967779289931,45,4.326,1.773,1.494,5,0,0,0,-0.0177104771137,1
4.3,-65,48.8734279318,2.29639685021,5.06700181961,-0.0852895081043,-0.0168770495802,-0.0222209766507,0.0108796935529,45,4.326,1.773,1.494,5,0,0,0,-0.0173171963543,1
4.35,-65,48.8734285937,2.29639476536,5.06177806854,-0.102613665164,-0.0163956973702,-0.021631790325,0.0115741100162,45,4.326,1.773,1.494,5,0,0,0,-0.0168770495802,1
4.4,-65,48.8734292424,2.29639272271,5.05439424515,-0.147810786963,-0.0158574413508,-0.0209828075022,0.0129919769242,45,4.326,1.773,1.494,5,0,0,0,-0.0163956973702,1
4.45,-65,48.8734298889,2.29639068756,5.04577970505,-0.172785878181,-0.0152988750488,-0.0203128885478,0.0134368417785,45,4.326,1.773,1.494,5,0,0,0,-0.0158574413508,1
4.5,-65,48.8734305351,2.29638865448,5.0357208252,-0.201548993587,-0.0147141860798,-0.0196147039533,0.0139891710132,45,4.326,1.773,1.494,5,0,0,0,-0.0152988750488,1
4.55,-65,48.873431179,2.29638662929,5.02430200577,-0.229151189327,-0.0141079388559,-0.0188921317458,0.0145003302023,45,4.326,1.773,1.494,5,0,0,0,-0.0147141860798,1
4.6,-65,48.8734318215,2.29638460902,5.01169490814,-0.252959281206,-0.0134892119095,-0.0181545801461,0.0147990062833,45,4.326,1.773,1.494,5,0,0,0,-0.0141079388559,1
4.65,-65,48.8734324637,2.2963825904,4.99807024002,-0.272840470076,-0.0128617119044,-0.0174045544118,0.0150197939947,45,4.326,1.773,1.494,5,0,0,0,-0.0134892119095,1
4.7,-65,48.8734331035,2.2963805802,4.98366689682,-0.288799881935,-0.0122310826555,-0.0166469924152,0.0151897687465,45,4.326,1.773,1.494,5,0,0,0,-0.0128617119044,1
4.75,-65,48.8734337537,2.29637853769,4.96837711334,-0.300792187452,-0.011602432467,-0.0158887188882,0.0149170216173,45,4.326,1.773,1.494,5,0,0,0,-0.0122310826555,1
4.8,-65,48.8734343899,2.29637653993,4.95297718048,-0.308766335249,-0.0109689068049,-0.0151147050783,0.0155190844089,45,4.326,1.773,1.494,5,0,0,0,-0.011602432467,1
4.85,-65,48.8734350226,2.29637455366,4.93741846085,-0.312763959169,-0.0103565808386,-0.0143610276282,0.0151504799724,45,4.326,1.773,1.494,5,0,0,0,-0.0109689068049,1
4.9,-65,48.8734356544,2.29637257057,4.92183160782,-0.312836378813,-0.00975641980767,-0.0136146349832,0.0149802863598,45,4.326,1.773,1.494,5,0,0,0,-0.0103565808386,1
4.95,-65,48.8734362852,2.29637059135,4.90641307831,-0.309078842402,-0.00917099695653,-0.0128782661632,0.0147614069283,45,4.326,1.773,1.494,5,0,0,0,-0.00975641980767,1
5,-65,48.8734369138,2.29636861935,4.89137744904,-0.301578551531,-0.00860093720257,-0.0121521316469,0.0145646296442,45,4.326,1.773,1.494,5,0,0,0,-0.00917099695653,1
5.05,-65,48.873437554,2.29636661136,4.87658166885,-0.290567308664,-0.00804715137929,-0.0114387944341,0.0140087502077,45,4.326,1.773,1.494,5,0,0,0,-0.00860093720257,1
5.1,-65,48.8734381787,2.29636465227,4.86283349991,-0.275949627161,-0.00750427413732,-0.0107275117189,0.0142766963691,45,4.326,1.773,1.494,5,0,0,0,-0.00804715137929,1
5.15,-65,48.873438803,2.29636269506,4.84993886948,-0.258379459381,-0.00699212355539,-0.0100486027077,0.0136037105694,45,4.326,1.773,1.494,5,0,0,0,-0.00750427413732,1
5.2,-65,48.8734394255,2.29636074367,4.83807468414,-0.23785187304,-0.00649793306366,-0.00938424188644,0.0133192827925,45,4.326,1.773,1.494,5,0,0,0,-0.00699212355539,1
5.25,-65,48.8734400472,2.29635879508,4.82736444473,-0.214559048414,-0.00602465542033,-0.00873939134181,0.0129180196673,45,4.326,1.773,1.494,5,0,0,0,-0.00649793306366,1
5.3,-65,48.8734406667,2.29635685388,4.81796216965,-0.188697502017,-0.00557193160057,-0.00811424572021,0.0125466175377,45,4.326,1.773,1.494,5,0,0,0,-0.00602465542033,1
5.35,-65,48.8734412879,2.29635490736,4.80993127823,-0.160470932722,-0.00513871153817,-0.00750836916268,0.0121064614505,45,4.326,1.773,1.494,5,0,0,0,-0.00557193160057,1
5.4,-65,48.8734419052,2.29635297348,4.80345487595,-0.130085766315,-0.00472457753494,-0.00692189019173,0.0117796640843,45,4.326,1.773,1.494,5,0,0,0,-0.00513871153817,1
5.45,-65,48.8734425254,2.29635103095,4.79856204987,-0.0977359712124,-0.00433192541823,-0.00635957252234,0.0112327560782,45,4.326,1.773,1.494,5,0,0,0,-0.00472457753494,1
5.5,-65,48.8734431427,2.29634909759,4.7953915596,-0.0635928884149,-0.00395423453301,-0.00581277441233,0.0109674418345,45,4.326,1.773,1.494,5,0,0,0,-0.00433192541823,1
5.55,-65,48.8734437713,2.29634712883,4.79397630692,-0.0278640314937,-0.00359783996828,-0.00529199279845,0.010254832916,45,4.326,1.773,1.494,5,0,0,0,-0.00395423453301,1
5.6,-65,48.8734443894,2.29634519313,4.7944521904,0.00953265652061,-0.00325139937922,-0.00478147016838,0.0102256638929,45,4.326,1.773,1.494,5,0,0,0,-0.00359783996828,1
5.65,-65,48.8734450065,2.29634326095,4.79684019089,0.0479418262839,-0.00292802345939,-0.00430163135752,0.00963354017586,45,4.326,1.773,1.494,5,0,0,0,-0.00325139937922,1
5.7,-65,48.8734456261,2.29634132113,4.80119228363,0.087105371058,-0.00262058037333,-0.00384298316203,0.00918024498969,45,4.326,1.773,1.494,5,0,0,0,-0.00292802345939,1
5.75,-65,48.8734462443,2.29633938567,4.80753087997,0.127330139279,-0.00232922006398,-0.00340671301819,0.008763641119,45,4.326,1.773,1.494,5,0,0,0,-0.00262058037333,1
5.8,-65,48.8734468657,2.29633744016,4.81593418121,0.168230190873,-0.00205313810147,-0.00299244560301,0.00829330924898,45,4.326,1.773,1.494,5,0,0,0,-0.00232922006398,1
5.85,-65,48.8734474863,2.2963354973,4.82636928558,0.209642976522,-0.00179037090857,-0.00259819091298,0.00792060792446,45,4.326,1.773,1.494,5,0,0,0,-0.00205313810147,1
5.9,-65,48.8734481114,2.29633354072,4.83893823624,0.251389712095,-0.00154217507225,-0.00222639762796,0.00743637979031,45,4.326,1.773,1.494,5,0,0,0,-0.00179037090857,1
5.95,-65,48.8734487376,2.2963315805,4.8535861969,0.293330490589,-0.00130438432097,-0.00187175616156,0.0071016876027,45,4.326,1.773,1.494,5,0,0,0,-0.00154217507225,1
6,-65,48.8734493681,2.29632960692,4.87038564682,0.335292249918,-0.00108009006362,-0.00153922615573,0.00663677649572,45,4.326,1.773,1.494,5,0,0,0,-0.00130438432097,1
6.05,-65,48.8734500004,2.29632762792,4.88904857635,0.372882068157,-0.000865334819537,-0.00122378370725,0.00630256161094,45,4.326,1.773,1.494,5,0,0,0,-0.00108009006362,1
6.1,-65,48.8734506444,2.29632561223,4.90960931778,0.405030310154,-0.000663338112645,-0.00093027256662,0.00578186567873,45,4.326,1.773,1.494,5,0,0,0,-0.000865334819537,1
6.15,-65,48.873451282,2.29632361651,4.931204319,0.431540042162,-0.000468664482469,-0.000651516194921,0.00557050062343,45,4.326,1.773,1.494,5,0,0,0,-0.000663338112645,1
6.2,-65,48.8734519198,2.29632162046,4.95372486115,0.452015072107,-0.000288078648737,-0.000396840914618,0.00511163845658,45,4.326,1.773,1.494,5,0,0,0,-0.000468664482469,1
6.25,-65,48.8734525605,2.29631961497,4.97698402405,0.46681162715,-0.000119435484521,-0.000162993412232,0.00469333818182,45,4.326,1.773,1.494,5,0,0,0,-0.000288078648737,1
6.3,-65,48.8734532049,2.2963175981,5.00070524216,0.475645333529,3.89562483178e-005,5.26603580511e-005,0.00432420382276,45,4.326,1.773,1.494,5,0,0,0,-0.000119435484521,1
6.35,-65,48.8734538522,2.29631557239,5.02455663681,0.478434622288,0.000186186938663,0.00024930035579,0.00394437741488,45,4.326,1.773,1.494,5,0,0,0,3.89562483178e-005,1
6.4,-65,48.8734545032,2.29631353466,5.04827451706,0.475163161755,0.000323060521623,0.000428516126703,0.00359042501077,45,4.326,1.773,1.494,5,0,0,0,0.000186186938663,1
6.45,-65,48.8734551569,2.29631148856,5.07151508331,0.465820550919,0.000450873572845,0.000592582102399,0.00328843994066,45,4.326,1.773,1.494,5,0,0,0,0.000323060521623,1
6.5,-65,48.8734558263,2.29630939366,5.09442234039,0.450456559658,0.00056625547586,0.000737550435588,0.00285070063546,45,4.326,1.773,1.494,5,0,0,0,0.000450873572845,1
6.55,-65,48.8734564846,2.29630733298,5.11579704285,0.429076761007,0.000672906753607,0.000869155453984,0.00264183897525,45,4.326,1.773,1.494,5,0,0,0,0.00056625547586,1
6.6,-65,48.8734571462,2.29630526215,5.13583564758,0.401838749647,0.000768424477428,0.000984800164588,0.00231903488748,45,4.326,1.773,1.494,5,0,0,0,0.000672906753607,1
6.65,-65,48.8734578088,2.2963031882,5.1544046402,0.373130679131,0.000852842116728,0.00108512758743,0.0020160372369,45,4.326,1.773,1.494,5,0,0,0,0.000768424477428,1
