Time (sec);X Position (m);Y Position (m);Z Position (m);Roll Position (rad);Pitch Position (rad);Yaw Position (rad)
1.0000000000;0.0106731898;-0.0137426078;-0.0059411018;0.0876804077;0.0464253117;-0.1091640646
1.0100000000;0.0107643747;-0.0138482873;-0.0061245244;0.0883153517;0.0469710670;-0.1093191521
1.0200000000;0.0108552987;-0.0139531006;-0.0063058270;0.0887901581;0.0475552117;-0.1094238052
1.0300000000;0.0109459628;-0.0140570487;-0.0064842532;0.0891141346;0.0481639255;-0.1094765048
1.0400000000;0.0110363681;-0.0141601305;-0.0066590860;0.0892937340;0.0487893527;-0.1094760444
1.0500000000;0.0111265155;-0.0142623435;-0.0068296733;0.0893314626;0.0494269679;-0.1094215791
1.0600000000;0.0112164063;-0.0143636822;-0.0069954559;0.0892299907;0.0500733362;-0.1093123604
1.0700000000;0.0113060416;-0.0144641386;-0.0071559895;0.0889959342;0.0507265609;-0.1091476057
1.0800000000;0.0113954230;-0.0145637013;-0.0073109610;0.0886410715;0.0513835362;-0.1089267187
1.0900000000;0.0114845516;-0.0146623556;-0.0074601828;0.0881815501;0.0520364534;-0.1086494005
1.1000000000;0.0115734284;-0.0147600848;-0.0076035617;0.0876359136;0.0526758436;-0.1083154046
1.1100000000;0.0116620541;-0.0148568711;-0.0077410697;0.0870246289;0.0532970704;-0.1079242882
1.1200000000;0.0117504290;-0.0149526963;-0.0078727312;0.0863712574;0.0539017086;-0.1074754765
1.1300000000;0.0118385530;-0.0150475430;-0.0079986100;0.0857009997;0.0544937514;-0.1069686309
1.1400000000;0.0119264255;-0.0151413947;-0.0081187984;0.0850356324;0.0550775176;-0.1064039034
1.1500000000;0.0120140457;-0.0152342363;-0.0082334306;0.0843901889;0.0556598113;-0.1057817569
1.1600000000;0.0121014124;-0.0153260542;-0.0083427102;0.0837746366;0.0562504346;-0.1051027275
1.1700000000;0.0121885239;-0.0154168366;-0.0084469263;0.0831971381;0.0568558973;-0.1043674570
1.1800000000;0.0122753786;-0.0155065741;-0.0085464412;0.0826650233;0.0574726926;-0.1035767343
1.1900000000;0.0123619744;-0.0155952596;-0.0086416518;0.0821853252;0.0580898103;-0.1027314396
1.2000000000;0.0124483084;-0.0156828892;-0.0087329494;0.0817665037;0.0586975650;-0.1018326440
1.2100000000;0.0125343775;-0.0157694629;-0.0088207035;0.0814183523;0.0592924918;-0.1008817118
1.2200000000;0.0126201780;-0.0158549850;-0.0089052627;0.0811501275;0.0598762475;-0.0998800715
1.2300000000;0.0127057057;-0.0159394638;-0.0089869553;0.0809688052;0.0604518233;-0.0988289590
1.2400000000;0.0127909563;-0.0160229118;-0.0090660834;0.0808778775;0.0610194005;-0.0977295346
1.2500000000;0.0128759255;-0.0161053451;-0.0091429233;0.0808778990;0.0615761157;-0.0965832090
1.2600000000;0.0129606090;-0.0161867831;-0.0092177365;0.0809664929;0.0621195075;-0.0953916997
1.2700000000;0.0130450024;-0.0162672486;-0.0092907825;0.0811362290;0.0626468167;-0.0941567900
1.2800000000;0.0131291015;-0.0163467664;-0.0093623276;0.0813747646;0.0631498945;-0.0928804189
1.2900000000;0.0132129020;-0.0164253635;-0.0094326416;0.0816668165;0.0636159057;-0.0915649803
1.3000000000;0.0132963996;-0.0165030685;-0.0095019926;0.0819932505;0.0640367659;-0.0902131120
1.3100000000;0.0133795902;-0.0165799111;-0.0095706537;0.0823306657;0.0644152772;-0.0888274116
1.3200000000;0.0134624693;-0.0166559218;-0.0096389232;0.0826562767;0.0647594004;-0.0874106436
1.3300000000;0.0135450328;-0.0167311317;-0.0097071450;0.0829532511;0.0650769032;-0.0859658627
1.3400000000;0.0136272762;-0.0168055725;-0.0097757141;0.0832109868;0.0653803354;-0.0844961396
1.3500000000;0.0137091953;-0.0168792756;-0.0098450687;0.0834225995;0.0656893621;-0.0830042437
1.3600000000;0.0137907857;-0.0169522728;-0.0099156782;0.0835823314;0.0660219664;-0.0814924611
1.3700000000;0.0138720431;-0.0170245953;-0.0099880384;0.0836826603;0.0663863611;-0.0799626090
1.3800000000;0.0139529633;-0.0170962737;-0.0100626724;0.0837126464;0.0667816744;-0.0784162794
1.3900000000;0.0140335425;-0.0171673375;-0.0101401220;0.0836600174;0.0672033731;-0.0768550706
1.4000000000;0.0141137767;-0.0172378154;-0.0102209293;0.0835159018;0.0676490388;-0.0752805021
1.4100000000;0.0141936624;-0.0173077341;-0.0103056219;0.0832767774;0.0681209571;-0.0736939003
1.4200000000;0.0142731958;-0.0173771187;-0.0103947067;0.0829419302;0.0686229643;-0.0720967658
1.4300000000;0.0143523732;-0.0174459925;-0.0104886639;0.0825123783;0.0691550581;-0.0704911160
1.4400000000;0.0144311908;-0.0175143770;-0.0105879407;0.0819913968;0.0697135178;-0.0688791001
1.4500000000;0.0145096447;-0.0175822921;-0.0106929410;0.0813811454;0.0702965905;-0.0672624457
1.4600000000;0.0145877316;-0.0176497559;-0.0108040033;0.0806796494;0.0709076598;-0.0656425439
1.4700000000;0.0146654479;-0.0177167853;-0.0109213800;0.0798841437;0.0715524780;-0.0640209232
1.4800000000;0.0147427905;-0.0177833956;-0.0110452281;0.0789954340;0.0722327923;-0.0623994950
1.4900000000;0.0148197566;-0.0178496007;-0.0111756075;0.0780171429;0.0729415060;-0.0607804298
1.5000000000;0.0148963432;-0.0179154133;-0.0113124843;0.0769535052;0.0736635427;-0.0591657651
1.5100000000;0.0149725477;-0.0179808445;-0.0114557433;0.0758104100;0.0743805995;-0.0575570629
1.5200000000;0.0150483676;-0.0180459043;-0.0116052028;0.0745979836;0.0750782432;-0.0559555500
1.5300000000;0.0151238003;-0.0181106015;-0.0117606251;0.0733309934;0.0757532655;-0.0543625683
